,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Call Out My Name","The Weeknd",2172749,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
2,"God's Plan",Drake,1856151,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"Try Me","The Weeknd",1505359,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",1353098,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,SAD!,XXXTENTACION,1280920,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"Wasted Times","The Weeknd",1274345,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
7,"Look Alive (feat. Drake)","BlocBoy JB",1267149,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
8,"I Was Never There","The Weeknd",1097255,https://open.spotify.com/track/56d6kYZhfhzpoC3s1dRU2V
9,"Hurt You","The Weeknd",1079081,https://open.spotify.com/track/13wNEvWmBsWaWVtiLPRIW5
10,"Plug Walk","Rich The Kid",931186,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
11,Privilege,"The Weeknd",920370,https://open.spotify.com/track/26Fqtv4Aa7kyd1WWGHai6A
12,"Freaky Friday (feat. Chris Brown)","Lil Dicky",908287,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
13,"Love Lies (with Normani)",Khalid,779994,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,Moonlight,XXXTENTACION,776358,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"Walk It Talk It",Migos,766874,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
16,"All The Stars (with SZA)","Kendrick Lamar",765690,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
17,"Ric Flair Drip (& Metro Boomin)",Offset,740119,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
18,Mine,Bazzi,739080,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
19,"The Middle",Zedd,723581,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
20,"Stir Fry",Migos,702127,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
21,rockstar,"Post Malone",662760,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
22,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",662012,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
23,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",621089,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
24,"Powerglide (feat. Juicy J)","Rae Sremmurd",618808,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
25,"I Fall Apart","Post Malone",602178,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
26,Delicate,"Taylor Swift",582866,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
27,"Pray For Me (with Kendrick Lamar)","The Weeknd",576111,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
28,"In My Blood","Shawn Mendes",545160,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
29,FRIENDS,Marshmello,539378,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
30,"Lemon (feat. Drake) - Drake Remix",N.E.R.D,512986,https://open.spotify.com/track/739vCwA3EpBSkk3uDsI2wB
31,JAPAN,"Famous Dex",510271,https://open.spotify.com/track/4lTiuD1DwBKo4L7wqMkD7C
32,changes,XXXTENTACION,507382,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
33,"Be Careful","Cardi B",483723,https://open.spotify.com/track/6J3YPOejivwLSjM2dru5Ad
34,"Never Be the Same","Camila Cabello",480497,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
35,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",478146,https://open.spotify.com/track/0eHCArTPhwUxatY7cEXRiK
36,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",472995,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
37,Everyday,Logic,461767,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
38,"XO Tour Llif3","Lil Uzi Vert",456720,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
39,X,"Nicky Jam",441317,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
40,"Nowadays (feat. Landon Cube)","Lil Skies",440998,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
41,"Red Roses (feat. Landon Cube)","Lil Skies",419043,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
42,"Bounce Out With That","YBN Nahmir",415227,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
43,"Havana (feat. Young Thug)","Camila Cabello",402454,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
44,Congratulations,"Post Malone",396328,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
45,IDGAF,"Dua Lipa",393926,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
46,"Lost In Japan","Shawn Mendes",389069,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
47,"Candy Paint","Post Malone",388826,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
48,"Jocelyn Flores",XXXTENTACION,387636,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
49,"Finesse - Remix; feat. Cardi B","Bruno Mars",383476,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
50,Narcos,Migos,375482,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
51,HUMBLE.,"Kendrick Lamar",371702,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
