,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"my future","Billie Eilish",1324910,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1283885,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Wishing Well","Juice WRLD",1164294,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
4,cardigan,"Taylor Swift",1158001,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
5,"exile (feat. Bon Iver)","Taylor Swift",1145242,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
6,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Tory Lanez",1105206,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
7,"Come & Go (with Marshmello)","Juice WRLD",1076891,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
8,"the 1","Taylor Swift",1034346,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8
9,"Watermelon Sugar","Harry Styles",907059,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
10,"Blinding Lights","The Weeknd",844657,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Blueberry Faygo","Lil Mosey",831362,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
12,"POPSTAR (feat. Drake)","DJ Khaled",804751,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
13,"the last great american dynasty","Taylor Swift",803330,https://open.spotify.com/track/2Eeur20xVqfUoM3Q7EFPFt
14,august,"Taylor Swift",764186,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K
15,"my tears ricochet","Taylor Swift",762794,https://open.spotify.com/track/1MgV7FIyNxIG7WzMRJV5HC
16,"Over Your Head",Future,749902,https://open.spotify.com/track/0Tcw8w9pvPrZoORgxsNASW
17,Conversations,"Juice WRLD",742052,https://open.spotify.com/track/2fZTS0VboxRpF0FdfY7E5P
18,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",719918,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
19,"Savage Love (Laxed - Siren Beat)","Jawsh 685",719186,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
20,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",715218,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
21,"invisible string","Taylor Swift",667573,https://open.spotify.com/track/6VsvKPJ4xjVNKpI8VVZ3SV
22,"Party Girl",StaySolidRocky,663245,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
23,"Rags2Riches (feat. ATR Son Son)","Rod Wave",658464,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
24,"Roses - Imanbek Remix","SAINt JHN",648433,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
25,seven,"Taylor Swift",644979,https://open.spotify.com/track/6KJqZcs9XDgVck7Lg9QOTC
26,mirrorball,"Taylor Swift",642088,https://open.spotify.com/track/0ZNU020wNYvgW84iljPkPP
27,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",636416,https://open.spotify.com/track/66FgjA5ZQJJuypFG1bc8se
28,"We Paid (feat. 42 Dugg)","Lil Baby",621884,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
29,"Go Crazy","Chris Brown",607068,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
30,"this is me trying","Taylor Swift",596923,https://open.spotify.com/track/7kt9e9LFSpN1zQtYEl19o1
31,betty,"Taylor Swift",589562,https://open.spotify.com/track/5kI4eCXXzyuIUXjQra0Cxi
32,"The Box","Roddy Ricch",587619,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
33,"illicit affairs","Taylor Swift",586520,https://open.spotify.com/track/2NmsngXHeC1GQ9wWrzhOMf
34,Righteous,"Juice WRLD",571159,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
35,"GREECE (feat. Drake)","DJ Khaled",561329,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
36,"Got It On Me","Pop Smoke",545337,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
37,"GO (feat. Juice WRLD)","The Kid LAROI",541660,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
38,"Life's A Mess (feat. Halsey)","Juice WRLD",538680,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
39,"mad woman","Taylor Swift",525728,https://open.spotify.com/track/2QDyYdZyhlP2fp79KZX8Bi
40,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,514320,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
41,"THE SCOTTS","THE SCOTTS",510260,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
42,"death bed (coffee for your head)",Powfu,501475,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
43,"Mood Swings (feat. Lil Tjay)","Pop Smoke",496760,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
44,"Sunday Best",Surfaces,496224,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
45,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",493494,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
46,"Move Ya Hips (feat. Nicki Minaj & MadeinTYO)","A$AP Ferg",486961,https://open.spotify.com/track/5esKpsrB3TbGHwFaAjIGMx
47,"Toosie Slide",Drake,484504,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
48,Circles,"Post Malone",482531,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
49,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",476349,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
50,peace,"Taylor Swift",475366,https://open.spotify.com/track/7MbT4I8qGntX4fMdqMQgke
51,Patek,Future,471302,https://open.spotify.com/track/76MjtLfZoTNc3BDqUVjuRH
52,"Narrow Road (feat. Lil Baby)","NLE Choppa",471159,https://open.spotify.com/track/3GZd1aDsgKL71Kt3VIp0hc
53,"WHATS POPPIN","Jack Harlow",470120,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
54,epiphany,"Taylor Swift",469126,https://open.spotify.com/track/08fa9LFcFBTcilB3iq2e2A
55,"Lucid Dreams","Juice WRLD",469101,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
56,"Blood On My Jeans","Juice WRLD",460977,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
57,"Savage Remix (feat. Beyoncé)",Beyoncé,449864,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
58,"After Party","Don Toliver",441878,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
59,"Intentions (feat. Quavo)","Justin Bieber",441852,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
60,"The Bigger Picture","Lil Baby",437093,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
61,"Rain On Me (with Ariana Grande)","Lady Gaga",434068,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
62,"Adore You","Harry Styles",432466,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
63,Robbery,"Juice WRLD",427368,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
64,"Life Is Good (feat. Drake)",Future,425082,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
65,Dior,"Pop Smoke",414977,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
66,hoax,"Taylor Swift",411240,https://open.spotify.com/track/6MWoRt97mnSTXZhu3ggi9C
67,"All Girls Are The Same","Juice WRLD",410271,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
68,"Nobody's Love","Maroon 5",401904,https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq
69,"Chicago Freestyle (feat. Giveon)",Drake,400209,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
70,21,"Polo G",396852,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
71,"Lion King On Ice","J. Cole",396791,https://open.spotify.com/track/1ZvBVbsaNqHEP6ymXaPGlj
72,"I Should Probably Go To Bed","Dan + Shay",390640,https://open.spotify.com/track/5ovVcYo2MvjVydFwFyaaqy
73,"Flex (feat. Juice WRLD)","Polo G",383419,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
74,goosebumps,"Travis Scott",382420,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
75,"Walk Em Down (feat. Roddy Ricch)","Roddy Ricch",376964,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
76,ROXANNE,"Arizona Zervas",376324,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
77,"t h e . c l i m b . b a c k","J. Cole",376068,https://open.spotify.com/track/0FlfN5cbUUpIHCRH8X1M44
78,"Stay High","Juice WRLD",373598,https://open.spotify.com/track/1AnkdcHl86kEhDvhaKDuIe
79,"Someone You Loved","Lewis Capaldi",371918,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
80,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",371519,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
81,"Break My Heart","Dua Lipa",371075,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
82,"Stunnin' (feat. Harm Franklin)","Curtis Waters",370518,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
83,"everything i wanted","Billie Eilish",369649,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
84,"Before You Go","Lewis Capaldi",368349,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
85,"Are You Bored Yet? (feat. Clairo)",Wallows,368292,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
86,"hot girl bummer",blackbear,365322,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
87,"HIGHEST IN THE ROOM","Travis Scott",360087,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
88,"Be Kind (with Halsey)",Marshmello,359461,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
89,"Breaking Me",Topic,356016,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
90,"Ballin' (with Roddy Ricch)",Mustard,355347,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
91,"Stuck with U (with Justin Bieber)","Ariana Grande",351218,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
92,Falling,"Trevor Daniel",351143,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
93,Supalonely,BENEE,350484,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
94,"Bad Energy","Juice WRLD",350380,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
