,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",2432139,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Going Bad (feat. Drake)","Meek Mill",1587207,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
3,"Mo Bamba","Sheck Wes",1456732,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
4,"SICKO MODE","Travis Scott",1400323,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1299232,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1252878,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"TIC TOC",6ix9ine,1202983,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
8,"All I Want for Christmas Is You","Mariah Carey",1132569,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
9,KIKA,6ix9ine,1123983,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
10,"Without Me",Halsey,1104885,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
11,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",968616,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
12,"Jingle Bell Rock","Bobby Helms",892336,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
13,"Lucid Dreams","Juice WRLD",869252,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
14,MAMA,6ix9ine,865937,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
15,"On Me (feat. Cardi B)","Meek Mill",861249,https://open.spotify.com/track/3DnZfpfe8wLeJgzc00gKeW
16,"Santa Tell Me","Ariana Grande",860208,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
17,"Wake Up in the Sky","Gucci Mane",848842,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
18,"Rockin' Around The Christmas Tree","Brenda Lee",825457,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
19,BAD!,XXXTENTACION,801474,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
20,"What's Free (feat. Rick Ross & Jay Z)","Meek Mill",790891,https://open.spotify.com/track/4iQ5gmTAzWfK8JyFC2LBox
21,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,769549,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
22,WAKA,6ix9ine,768778,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
23,"Armed And Dangerous","Juice WRLD",750477,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
24,"It's the Most Wonderful Time of the Year","Andy Williams",744007,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
25,"Leave Me Alone","Flipp Dinero",739874,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
26,Happier,Marshmello,737970,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
27,SAD!,XXXTENTACION,722253,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
28,"Uptown Vibes (feat. Fabolous & Anuel AA)","Meek Mill",720843,https://open.spotify.com/track/2tnlNVAhuQGgoFJxALVeXx
29,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",709050,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
30,"when the party's over","Billie Eilish",697068,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
