,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",2667249,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
2,"MIDDLE CHILD","J. Cole",2453545,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
3,"bury a friend","Billie Eilish",2139874,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
4,Wow.,"Post Malone",1914196,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1798752,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,"Going Bad (feat. Drake)","Meek Mill",1367510,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
7,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1187209,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
8,"Look Back at It","A Boogie Wit da Hoodie",1146596,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
9,"Without Me",Halsey,1128334,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
10,"SICKO MODE","Travis Scott",1080999,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
11,"a lot","21 Savage",1006803,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
12,"thank u, next","Ariana Grande",998884,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
13,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",984950,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
14,"Dancing With A Stranger (with Normani)","Sam Smith",984596,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
15,Thotiana,Blueface,935167,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
16,"Mo Bamba","Sheck Wes",932615,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
17,"Saturday Nights",Khalid,859122,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
18,"Keanu Reeves",Logic,844406,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
19,"Leave Me Alone","Flipp Dinero",818395,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
20,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,787196,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
21,"Wake Up in the Sky","Gucci Mane",777554,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
22,"One Call",Gunna,768795,https://open.spotify.com/track/2IoZOYOZDrWCOLoZoYedxQ
23,"Lucid Dreams","Juice WRLD",715826,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
24,Happier,Marshmello,711918,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
25,"when the party's over","Billie Eilish",695361,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
26,"i'm so tired...",Lauv,695017,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
27,SAD!,XXXTENTACION,694787,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
28,"Armed And Dangerous","Juice WRLD",677728,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
29,"Better Now","Post Malone",674826,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
30,Splashin,"Rich The Kid",674282,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
31,Money,"Cardi B",671888,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
32,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",671321,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
33,"Racks on Racks","Lil Pump",663205,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s
34,Hope,"The Chainsmokers",657418,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
35,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",656349,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
36,"High Hopes","Panic! At The Disco",643174,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
37,"First Off (feat. Travis Scott)",Future,622508,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG
38,"Eastside (with Halsey & Khalid)","benny blanco",618890,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
39,Better,Khalid,609047,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
40,Moonlight,XXXTENTACION,592232,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
41,"Space Cadet (feat. Gunna)","Metro Boomin",586773,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
42,lovely,"Billie Eilish",582166,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
43,"MIA (feat. Drake)","Bad Bunny",572638,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
44,"Taste (feat. Offset)",Tyga,535917,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
45,Shallow,"Lady Gaga",521379,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
46,"Crushed Up",Future,505453,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41
47,"Lost in the Fire",Gesaffelstein,505150,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
48,"Jocelyn Flores",XXXTENTACION,498827,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
49,YOSEMITE,"Travis Scott",493540,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
50,Sauce!,XXXTENTACION,490124,https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca
51,Nonstop,Drake,477609,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
52,idontwannabeyouanymore,"Billie Eilish",474348,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
53,"Calling My Spirit","Kodak Black",471628,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
54,"whoa (mind in awe)",XXXTENTACION,470244,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
55,"Pure Water (with Migos)",Mustard,468126,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
56,"rockstar (feat. 21 Savage)","Post Malone",467608,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
57,Noticed,"Lil Mosey",466040,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
58,"Pure Cocaine","Lil Baby",458080,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
59,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",457427,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
60,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",451298,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
61,"7 rings (feat. 2 Chainz) - Remix","Ariana Grande",449362,https://open.spotify.com/track/6AyI8UGx8Y4peb7pLOy2pf
62,"Yes Indeed","Lil Baby",445521,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
63,"Swan Song - From the Motion Picture ""Alita: Battle Angel""","Dua Lipa",440931,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
64,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",439021,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
65,"Sweet but Psycho","Ava Max",436078,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
66,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",435162,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
67,"Fine China",Future,433579,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
68,"I Like It","Cardi B",432962,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
69,"I Fall Apart","Post Malone",430905,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
70,"Let Me Down Slowly","Alec Benjamin",430209,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
71,imagine,"Ariana Grande",428071,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
72,"No Stylist (feat. Drake)","French Montana",421814,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
73,"Psycho (feat. Ty Dolla $ign)","Post Malone",420917,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
74,KIKA,6ix9ine,416960,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
75,"I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)","Lil Peep",416128,https://open.spotify.com/track/2v5JTeM6hSmi5wWy7jiwrI
76,"Murder On My Mind","YNW Melly",411524,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
77,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,410358,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
78,monster,"21 Savage",408121,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
79,"Envy Me",Calboy,404650,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
80,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",403108,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
81,"Beautiful (feat. Camila Cabello)",Bazzi,400665,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
82,BAD!,XXXTENTACION,398962,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
83,"Faucet Failure","Ski Mask The Slump God",395093,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
84,"Giant (with Rag'n'Bone Man)","Calvin Harris",392201,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
85,"10 Freaky Girls (with 21 Savage)","Metro Boomin",388877,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
86,"Best Part (feat. Daniel Caesar)",H.E.R.,387880,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
87,FEFE,6ix9ine,383407,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
88,"God's Plan",Drake,381666,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
89,"All Girls Are The Same","Juice WRLD",379216,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
90,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",378873,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
91,"Look Alive (feat. Drake)","BlocBoy JB",377974,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
92,Youngblood,"5 Seconds of Summer",377272,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
93,"Ric Flair Drip (& Metro Boomin)",Offset,377130,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
94,"Bleed It",Blueface,373720,https://open.spotify.com/track/67fNrBUMc7iWMofdCaoJV9
95,"no tears left to cry","Ariana Grande",372450,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
96,bellyache,"Billie Eilish",368978,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
97,"Be Alright","Dean Lewis",365221,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
98,"ocean eyes","Billie Eilish",358833,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
99,"Mixed Personalities (feat. Kanye West)","YNW Melly",357451,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
100,breathin,"Ariana Grande",357298,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
101,"Butterfly Doors","Lil Pump",356949,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
102,changes,XXXTENTACION,356848,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
103,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,351127,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
104,"Bohemian Rhapsody - Remastered 2011",Queen,347842,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
105,"I Like Me Better",Lauv,347298,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
106,Topanga,"Trippie Redd",345050,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
107,Secreto,"Anuel AA",344601,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
108,"Lie To Me (feat. Julia Michaels)","5 Seconds of Summer",343929,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3
109,"Demons and Angels (feat. Juice WRLD)","A Boogie Wit da Hoodie",342116,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
110,"Lean Wit Me","Juice WRLD",335465,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
111,Congratulations,"Post Malone",335278,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
112,"1400 / 999 Freestyle","Trippie Redd",334068,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
113,"XO Tour Llif3","Lil Uzi Vert",332032,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
114,Speechless,"Dan + Shay",330484,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
115,"Falling Down - Bonus Track","Lil Peep",330268,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
116,"Love Lies (with Normani)",Khalid,327183,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
117,"This Feeling","The Chainsmokers",325920,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
118,"Girls Have Fun (feat. G-Eazy & Rich The Kid)",Tyga,324606,https://open.spotify.com/track/1NHlyKgtR4roNylOhidKSv
119,Trip,"Ella Mai",324205,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
120,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,324110,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
121,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",319202,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
122,Undecided,"Chris Brown",318134,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
123,"In My Feelings",Drake,317299,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
124,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",316776,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
125,goosebumps,"Travis Scott",314656,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
126,"3 Nights","Dominic Fike",309878,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
127,"Everybody Dies In Their Nightmares",XXXTENTACION,308843,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
128,"Calma - Remix","Pedro Capó",308100,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
129,"Put a Date On It (feat. Lil Baby)","Yo Gotti",307259,https://open.spotify.com/track/6PRh0ilIMEP1xlUHqalnkD
130,"No Role Modelz","J. Cole",302561,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
131,"God is a woman","Ariana Grande",301728,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
132,Kamikaze,"Lil Mosey",300835,https://open.spotify.com/track/1iPBD72u3nAyFEeardYuBV
133,"Nice For What",Drake,298103,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
134,"Twerk (feat. Cardi B)","City Girls",297681,https://open.spotify.com/track/4DyBx5MYoq8RsU33cEAIxT
135,STARGAZING,"Travis Scott",295602,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
136,Walk,Comethazine,294067,https://open.spotify.com/track/21kOVEG3bDCVphKhXL8XmQ
137,"TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix","Tory Lanez",293668,https://open.spotify.com/track/51w9Jbat1pLeWINGCpnQUR
138,Mine,Bazzi,292699,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
139,"100 Bad Days",AJR,291770,https://open.spotify.com/track/59NBECAQ5tXNmtKbRFcYil
140,HUMBLE.,"Kendrick Lamar",291239,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
141,Tequila,"Dan + Shay",291207,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
142,"Young Dumb & Broke",Khalid,289174,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
143,"Bones (feat. OneRepublic)",Galantis,288556,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv
144,"SLOW DANCING IN THE DARK",Joji,281598,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
145,"Plug Walk","Rich The Kid",278432,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
146,"can't leave without it","21 Savage",277128,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
147,"The Middle",Zedd,276768,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
148,"Candy Paint","Post Malone",276071,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
149,"Lucky You (feat. Joyner Lucas)",Eminem,275398,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
150,"Someone You Loved","Lewis Capaldi",274815,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
151,"you should see me in a crown","Billie Eilish",274225,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
