,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1867789,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,Wow.,"Post Malone",1564946,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
3,"SICKO MODE","Travis Scott",1454622,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"thank u, next","Ariana Grande",1397512,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
5,"Going Bad (feat. Drake)","Meek Mill",1245437,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
6,"Mo Bamba","Sheck Wes",1188824,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
7,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1178459,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
8,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1163374,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
9,"Without Me",Halsey,972371,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
10,"Leave Me Alone","Flipp Dinero",858875,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
11,"Lucid Dreams","Juice WRLD",804928,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
12,"Wake Up in the Sky","Gucci Mane",800164,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
13,Happier,Marshmello,736137,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"a lot","21 Savage",708965,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
15,Money,"Cardi B",697968,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
16,"MIA (feat. Drake)","Bad Bunny",693951,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
17,"I Like It","Cardi B",692217,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
18,"Look Back at It","A Boogie Wit da Hoodie",685428,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
19,"Better Now","Post Malone",677444,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,SAD!,XXXTENTACION,672912,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Eastside (with Halsey & Khalid)","benny blanco",651817,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
