,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",2008992,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Kiss Me More (feat. SZA)","Doja Cat",1310669,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
3,"deja vu","Olivia Rodrigo",1081670,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
4,RAPSTAR,"Polo G",1042056,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
5,"You Right","Doja Cat",1001943,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
6,"Levitating (feat. DaBaby)","Dua Lipa",1000538,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator",985465,https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC
8,traitor,"Olivia Rodrigo",984955,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
9,"MONTERO (Call Me By Your Name)","Lil Nas X",979240,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
10,"Bad Habits","Ed Sheeran",943595,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
11,"Thot Shit","Megan Thee Stallion",843680,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
12,"Wants and Needs (feat. Lil Baby)",Drake,833842,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
13,Beggin',Måneskin,793824,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
14,"Heat Waves","Glass Animals",775224,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
15,"favorite crime","Olivia Rodrigo",742282,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
16,"Ain't Shit","Doja Cat",739113,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
17,happier,"Olivia Rodrigo",736469,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
18,Yonaguni,"Bad Bunny",730118,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
19,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",714583,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
20,brutal,"Olivia Rodrigo",697008,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
21,"drivers license","Olivia Rodrigo",687294,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
22,"Todo De Ti","Rauw Alejandro",667665,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
23,"JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)","Tyler, The Creator",619527,https://open.spotify.com/track/7z4xW9WY86uH3gd1V9pfCM
24,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,616332,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
25,"Astronaut In The Ocean","Masked Wolf",599566,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
26,"jealousy, jealousy","Olivia Rodrigo",597330,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
27,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",597216,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
28,"Leave The Door Open","Bruno Mars",593040,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
29,"Need to Know","Doja Cat",585798,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
30,"Red Light Green Light",DaBaby,580097,https://open.spotify.com/track/1YDebgap5OFwXEBG18NJvy
31,Butter,BTS,575418,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
32,LUMBERJACK,"Tyler, The Creator",542989,https://open.spotify.com/track/0BiK5BbYNFLb88CCOxBFJe
33,"LEMONHEAD (feat. 42 Dugg)","Tyler, The Creator",540876,https://open.spotify.com/track/5fbHRCsGpFIOLRtlhCRFDR
34,"Heartbreak Anniversary",Giveon,505945,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
35,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",494589,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
36,"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled",494432,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz
37,"Wasting Time ( feat. Drake & The Neptunes )","Brent Faiyaz",488738,https://open.spotify.com/track/48WidxP9CqyYtk97pwGZ3c
38,"enough for you","Olivia Rodrigo",488242,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
39,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",483424,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
40,"Ball If I Want To",DaBaby,480199,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
41,"All Eyes On Me","Bo Burnham",479995,https://open.spotify.com/track/3rV5y8rcQrwRt9fWGLmjOQ
42,"Late At Night","Roddy Ricch",473070,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
43,"Blinding Lights","The Weeknd",468722,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
44,"Tell Em",Cochise,468602,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
45,"I Don't Do Drugs (feat. Ariana Grande)","Doja Cat",458377,https://open.spotify.com/track/0FFsgUoFibYISzMxuGS61W
46,"Best Friend (feat. Doja Cat)",Saweetie,458049,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
47,"HOT WIND BLOWS (feat. Lil Wayne)","Tyler, The Creator",436762,https://open.spotify.com/track/3JJL91ilRV6fXhKqu0FGXs
48,Up,"Cardi B",435171,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
49,"SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","Tyler, The Creator",423790,https://open.spotify.com/track/3EG9FJ0ToLfgnc1IG2Z1wz
50,"1 step forward, 3 steps back","Olivia Rodrigo",422816,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
51,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,410198,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
52,"Build a Bitch","Bella Poarch",409478,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
53,telepatía,"Kali Uchis",405834,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
54,CORSO,"Tyler, The Creator",404845,https://open.spotify.com/track/46oHvXwpEZOFX518we1nJD
55,"Lil Bit",Nelly,400181,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
56,"Having Our Way (feat. Drake)",Migos,396249,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
57,"my ex's best friend (with blackbear)","Machine Gun Kelly",395675,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
58,"m y . l i f e (with 21 Savage & Morray)","J. Cole",395541,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
59,Freaks,"Surf Curse",384709,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
60,"Sweater Weather","The Neighbourhood",383764,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
61,DÁKITI,"Bad Bunny",382537,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
62,"Get Into It (Yuh)","Doja Cat",380655,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
63,"AM Remix","Nio Garcia",380353,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
64,"Welcome to the Internet","Bo Burnham",376768,https://open.spotify.com/track/25AvaE23MXl06YRtQcQoJS
65,"Good Days",SZA,376626,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
