,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",3603005,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"deja vu","Olivia Rodrigo",1919892,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
3,traitor,"Olivia Rodrigo",1825119,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
4,"favorite crime","Olivia Rodrigo",1509421,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
5,"Kiss Me More (feat. SZA)","Doja Cat",1475421,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,brutal,"Olivia Rodrigo",1464438,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
7,happier,"Olivia Rodrigo",1337836,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
8,"drivers license","Olivia Rodrigo",1273996,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
9,"enough for you","Olivia Rodrigo",1191638,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
10,RAPSTAR,"Polo G",1182289,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
11,"jealousy, jealousy","Olivia Rodrigo",1097366,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
12,"Levitating (feat. DaBaby)","Dua Lipa",1068384,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"1 step forward, 3 steps back","Olivia Rodrigo",1067498,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
14,"MONTERO (Call Me By Your Name)","Lil Nas X",1025884,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
15,"hope ur ok","Olivia Rodrigo",893984,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
16,Butter,BTS,888549,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
17,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",850058,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
18,"Wants and Needs (feat. Lil Baby)",Drake,759057,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
19,"Heat Waves","Glass Animals",734605,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
20,"m y . l i f e (with 21 Savage & Morray)","J. Cole",728635,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
21,"Astronaut In The Ocean","Masked Wolf",722915,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
22,"Leave The Door Open","Bruno Mars",684332,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
23,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",683625,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
24,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",673439,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
25,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",650873,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
26,"Tell Em",Cochise,566714,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
27,"Heartbreak Anniversary",Giveon,564285,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
28,"Build a Bitch","Bella Poarch",560006,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
29,"Todo De Ti","Rauw Alejandro",538725,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
30,"Lucid Dreams","Juice WRLD",529893,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
31,Up,"Cardi B",522542,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
32,"a m a r i","J. Cole",516664,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
