,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",2145340,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Say So","Doja Cat",1116529,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
3,"Blinding Lights","The Weeknd",1106280,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"Life Is Good (feat. Drake)",Future,1048449,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
5,"Blueberry Faygo","Lil Mosey",1043040,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,"Intentions (feat. Quavo)","Justin Bieber",1022612,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,ROXANNE,"Arizona Zervas",980666,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
8,"La Difícil","Bad Bunny",955827,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
9,"Si Veo a Tu Mamá","Bad Bunny",924992,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
10,Ignorantes,"Bad Bunny",920023,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
11,"High Fashion (feat. Mustard)","Roddy Ricch",903135,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
12,"Don't Start Now","Dua Lipa",875508,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,"Stupid Love","Lady Gaga",847696,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
14,"La Santa","Bad Bunny",835835,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
15,"That Way","Lil Uzi Vert",830869,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
16,"Heatin Up (feat. Gunna)","Lil Baby",815357,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
17,Falling,"Trevor Daniel",806236,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
18,Circles,"Post Malone",805827,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,Vete,"Bad Bunny",802552,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
20,"WHATS POPPIN","Jack Harlow",778760,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
21,"Dance Monkey","Tones And I",733812,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
22,"Pero Ya No","Bad Bunny",726408,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
23,Woah,"Lil Baby",715798,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
24,"After Hours","The Weeknd",702689,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
25,"Godzilla (feat. Juice WRLD)",Eminem,686750,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
26,"Yo Perreo Sola","Bad Bunny",674005,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
27,"Ballin' (with Roddy Ricch)",Mustard,657982,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
28,"Adore You","Harry Styles",652714,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,"Sunday Best",Surfaces,646025,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
30,Safaera,"Bad Bunny",635716,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
31,Bichiyal,"Bad Bunny",633398,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
32,"everything i wanted","Billie Eilish",621228,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
33,BOP,DaBaby,619704,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
34,Soliá,"Bad Bunny",615903,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
35,Suicidal,"YNW Melly",612140,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
36,"Live Off My Closet (feat. Future)","Lil Baby",608031,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
37,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",588771,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
38,"Sum 2 Prove","Lil Baby",573318,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
39,"Commercial (feat. Lil Uzi Vert)","Lil Baby",563971,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
40,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",556069,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
