,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",1490233,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
2,"bad guy","Billie Eilish",1416174,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1407982,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
4,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1065351,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
5,"MIDDLE CHILD","J. Cole",976752,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
6,"Talk (feat. Disclosure)",Khalid,967915,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
7,"Old Town Road","Lil Nas X",960665,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
8,"Sanguine Paradise","Lil Uzi Vert",931503,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
9,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",889191,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
10,Wow.,"Post Malone",798050,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
11,"Truth Hurts",Lizzo,785561,https://open.spotify.com/track/4HFpIAtiojlAuYNmITpYGn
12,"Going Bad (feat. Drake)","Meek Mill",782114,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
13,"Murder On My Mind","YNW Melly",756141,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
14,"7 rings","Ariana Grande",751506,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
15,"bury a friend","Billie Eilish",722539,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
16,"when the party's over","Billie Eilish",705015,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
17,"Pure Water (with Migos)",Mustard,690344,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
18,Sucker,"Jonas Brothers",679923,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
19,"wish you were gay","Billie Eilish",674532,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
20,Robbery,"Juice WRLD",645078,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
21,"Boy With Luv (feat. Halsey)",BTS,643783,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
22,Better,Khalid,606615,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
23,"Mixed Personalities (feat. Kanye West)","YNW Melly",593426,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
24,"Pop Out (feat. Lil Tjay)","Polo G",591470,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
25,"Envy Me",Calboy,590383,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
26,SOS,Avicii,579578,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
