,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"HIGHEST IN THE ROOM","Travis Scott",1507531,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
2,"Lose You To Love Me","Selena Gomez",1399006,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
3,Circles,"Post Malone",1375925,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1303534,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
5,"Follow God","Kanye West",1200464,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
6,"Don't Start Now","Dua Lipa",968604,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Immortal,"21 Savage",915688,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
8,"hot girl bummer",blackbear,904815,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
9,ROXANNE,"Arizona Zervas",881230,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
10,"Someone You Loved","Lewis Capaldi",880014,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Memories,"Maroon 5",867246,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
12,"Hot (Remix) [feat. Gunna and Travis Scott]","Travis Scott",832735,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
13,"223's (feat. 9lokknine)","YNW Melly",819872,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
14,Camelot,"NLE Choppa",785089,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
15,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",768112,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
16,"10,000 Hours (with Justin Bieber)","Dan + Shay",766276,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
17,"Dance Monkey","Tones And I",761458,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,"Stuck In A Dream (feat. Gunna)","Lil Mosey",755653,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
19,"Truth Hurts",Lizzo,749068,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
20,"Look At Her Now","Selena Gomez",708626,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
21,Ransom,"Lil Tecca",695503,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
