,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1638448,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
2,"STAY (with Justin Bieber)","The Kid LAROI",1389570,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,1348406,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
4,"Way 2 Sexy (with Future & Young Thug)",Drake,1328081,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
5,"Heat Waves","Glass Animals",1137951,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"good 4 u","Olivia Rodrigo",892298,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
7,"THATS WHAT I WANT","Lil Nas X",862930,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
8,"Need to Know","Doja Cat",837501,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
9,"family ties (with Kendrick Lamar)","Baby Keem",831015,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
10,"Fair Trade (with Travis Scott)",Drake,795191,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
11,"Kiss Me More (feat. SZA)","Doja Cat",779461,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
12,"MONTERO (Call Me By Your Name)","Lil Nas X",776087,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
13,"Meet Me At Our Spot","THE ANXIETY",754981,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
14,Woman,"Doja Cat",716106,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
15,"Girls Want Girls (with Lil Baby)",Drake,674118,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
16,2055,"Sleepy Hallow",670172,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
17,Shivers,"Ed Sheeran",659049,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
18,"Bad Habits","Ed Sheeran",657534,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
19,"Sharing Locations (feat. Lil Baby & Lil Durk)","Meek Mill",651773,https://open.spotify.com/track/3T9BKc4kB7ukeNQrCqv6ZV
20,Hurricane,"Kanye West",649100,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
21,"Happier Than Ever","Billie Eilish",646664,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
22,Pepas,Farruko,621239,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
23,traitor,"Olivia Rodrigo",590750,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
24,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",585776,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
25,Beggin',Måneskin,570056,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
26,"Fancy Like","Walker Hayes",569966,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
27,"Intro (Hate On Me)","Meek Mill",567168,https://open.spotify.com/track/4s7TIubkdsgdtDEDFEAYVL
28,"Your Heart","Joyner Lucas",566074,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
29,"My Universe",Coldplay,560549,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
30,"Levitating (feat. DaBaby)","Dua Lipa",555473,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
31,"Dark Red","Steve Lacy",532704,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
32,"Get Into It (Yuh)","Doja Cat",517324,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
33,Moon,"Kanye West",509840,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
34,"Poke It Out (feat. J. Cole)",Wale,498120,https://open.spotify.com/track/1IeCWMwZs4rCmwPOjZYWN7
35,RAPSTAR,"Polo G",488991,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
36,"Too Easy",Gunna,472293,https://open.spotify.com/track/4eL3XeuGaEoVT8ttDh3hwY
37,"Life Goes On","Oliver Tree",469780,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
38,"Sweater Weather","The Neighbourhood",463220,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
39,"love nwantiti (ah ah ah)",CKay,461355,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
40,"Jugaste y Sufrí","Eslabon Armado",457238,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
41,"Champagne Poetry",Drake,454266,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
42,"Wants and Needs (feat. Lil Baby)",Drake,450095,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
43,"deja vu","Olivia Rodrigo",444124,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
44,"Ain't Shit","Doja Cat",442086,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
45,"No Friends In The Industry",Drake,423271,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
46,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,423243,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
47,"No Role Modelz","J. Cole",422162,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
48,"Cold Heart - PNAU Remix","Elton John",421097,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
49,Freaks,"Surf Curse",418368,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
50,"Wildest Dreams (Taylor's Version)","Taylor Swift",414966,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
51,"Have Mercy",Chlöe,413491,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
52,"Off The Grid","Kanye West",408516,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
53,"fue mejor (feat. SZA)","Kali Uchis",407111,https://open.spotify.com/track/1CrPPsibP3uTc3DSI5vQC5
54,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",395474,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
55,"Blinding Lights","The Weeknd",389613,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
56,"drivers license","Olivia Rodrigo",388081,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
57,A-O-K,"Tai Verdes",386555,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
58,"Feelin' Like Tunechi","Lil Wayne",383943,https://open.spotify.com/track/4HTY26kzdGCKJF1EqcRd2J
59,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",375981,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
60,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",354314,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
61,Yonaguni,"Bad Bunny",353305,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
62,"Take My Breath","The Weeknd",343668,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
63,"my ex's best friend (with blackbear)","Machine Gun Kelly",340597,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
64,"Thot Shit","Megan Thee Stallion",338851,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
65,"You Right","Doja Cat",335059,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
