,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hurricane,"Kanye West",2104319,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
2,"STAY (with Justin Bieber)","The Kid LAROI",1702422,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Off The Grid","Kanye West",1556091,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
4,Jail,"Kanye West",1467870,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK
5,Moon,"Kanye West",1437409,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1435298,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
7,"Praise God","Kanye West",1282284,https://open.spotify.com/track/0Zm7NKJgoKY6ZWwtoEUILK
8,"family ties (with Kendrick Lamar)","Baby Keem",1086523,https://open.spotify.com/track/7Bpx2vsWfQFBACRz4h3IqH
9,"Heat Waves","Glass Animals",1083828,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
10,"Believe What I Say","Kanye West",1054364,https://open.spotify.com/track/73uxnSsFMeJ15POpd3zgrV
11,"good 4 u","Olivia Rodrigo",1041610,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"Need to Know","Doja Cat",1013195,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
13,Jonah,"Kanye West",959199,https://open.spotify.com/track/3gWzTnziivUYzqXtnvgN8q
14,"Happier Than Ever","Billie Eilish",958128,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
15,"Ok Ok","Kanye West",898990,https://open.spotify.com/track/4VYEnxm7lmtG5sEEbcmORB
16,"Heaven and Hell","Kanye West",890769,https://open.spotify.com/track/2ZUJsR8HEktit58X6FuPQM
17,"Remote Control","Kanye West",871105,https://open.spotify.com/track/3SYLoL8KHxdQPYIkfwmUjN
18,"Pure Souls","Kanye West",866810,https://open.spotify.com/track/7up5MwPUHQdv4DkzQRHRWP
19,"Kiss Me More (feat. SZA)","Doja Cat",862403,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
20,24,"Kanye West",822984,https://open.spotify.com/track/7DBFslKWQzoRgO0HBBkL3u
21,Junya,"Kanye West",815904,https://open.spotify.com/track/1aF9TeHZbe6OVo9dtjPuzK
22,"No Child Left Behind","Kanye West",814020,https://open.spotify.com/track/3onYsG7nB3FwEVHYYWCrIM
23,"Jail pt 2","Kanye West",736781,https://open.spotify.com/track/7f1w2rZoIf7g56McEUTh5W
24,"God Breathed","Kanye West",730450,https://open.spotify.com/track/1dPNJDYuW9QAtkOpK3eBvO
25,"Bad Habits","Ed Sheeran",705936,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
26,2055,"Sleepy Hallow",704563,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
27,"MONTERO (Call Me By Your Name)","Lil Nas X",699126,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
28,"Keep My Spirit Alive","Kanye West",686608,https://open.spotify.com/track/4IlOyxGATYUp7YVy5zrSW8
29,"Jesus Lord","Kanye West",681834,https://open.spotify.com/track/56JwgcQcxo08w7YXrBzrA5
30,Woman,"Doja Cat",677081,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
31,"New Again","Kanye West",663679,https://open.spotify.com/track/2GPTiPR5db727wu1tFvFt4
32,traitor,"Olivia Rodrigo",625190,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
33,"Come to Life","Kanye West",620271,https://open.spotify.com/track/6DZz58CbF0AKw5PCKqNKcM
34,Donda,"Kanye West",608003,https://open.spotify.com/track/2TJ1FOCmCBkKm418MjVw5D
35,"Levitating (feat. DaBaby)","Dua Lipa",605798,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
36,"Lord I Need You","Kanye West",595494,https://open.spotify.com/track/5YRFttxjAEgm2nq5Z2tlqK
37,Beggin',Måneskin,581881,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
38,"Sharing Locations (feat. Lil Baby & Lil Durk)","Meek Mill",578083,https://open.spotify.com/track/3J4VKkUpLvomXJbn9ZAypO
39,"Get Into It (Yuh)","Doja Cat",567888,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
40,"deja vu","Olivia Rodrigo",566572,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
41,Pepas,Farruko,558767,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
42,"Ain't Shit","Doja Cat",538886,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
43,RAPSTAR,"Polo G",532620,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
44,"Dark Red","Steve Lacy",517436,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
45,"Fancy Like","Walker Hayes",500908,https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
46,"Wants and Needs (feat. Lil Baby)",Drake,482109,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
47,"Ok Ok pt 2","Kanye West",457560,https://open.spotify.com/track/1QCqedB1ibmRO9x7Ikb5LI
48,"Tell The Vision","Kanye West",457536,https://open.spotify.com/track/34TiQsddaGhd8lmzJfxSzH
49,"Junya pt 2","Kanye West",447394,https://open.spotify.com/track/7soCc4TpT99bOhJoCiMqFN
50,Freaks,"Surf Curse",444902,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
51,"Take My Breath","The Weeknd",441140,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
52,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",430094,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
53,"drivers license","Olivia Rodrigo",428635,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
54,"Rumors (feat. Cardi B)",Lizzo,425622,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
55,"Sweater Weather","The Neighbourhood",404879,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
56,"Motley Crew","Post Malone",403852,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
57,"favorite crime","Olivia Rodrigo",397076,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
58,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",394980,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
59,"Jesus Lord pt 2","Kanye West",394059,https://open.spotify.com/track/72dummgz1gSqm8faekYYQh
60,A-O-K,"Tai Verdes",392652,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
61,"Matt Hardy 999 (feat. Juice WRLD)","Trippie Redd",388764,https://open.spotify.com/track/4zbr7Cp3UB00FurUovPU03
62,"REPEAT IT (with Gunna)","Lil Tecca",388514,https://open.spotify.com/track/4s6vwFgPdCtidpEw8KuQT6
63,"Thot Shit","Megan Thee Stallion",388470,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
64,"Jugaste y Sufrí","Eslabon Armado",387728,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
65,Pain,PinkPantheress,381482,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
66,"Todo De Ti","Rauw Alejandro",378968,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
67,brutal,"Olivia Rodrigo",378690,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
