,artist_name,track_name,track_id,popularity,release_date,artist_followers,Position,Track Name,Artist,Streams,URL,Date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,1,HUMBLE.,Kendrick Lamar,1965405,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,04/01/2017,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
13,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,1,HUMBLE.,Kendrick Lamar,1965405,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,04/01/2018,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
26,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,167,HUMBLE.,Kendrick Lamar,243026,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,04/01/2019,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
39,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,15,HUMBLE.,Kendrick Lamar,625777,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,01/01/2018,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
52,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,124,HUMBLE.,Kendrick Lamar,258618,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,01/01/2019,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
65,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,145,HUMBLE.,Kendrick Lamar,255129,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,01/01/2020,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
78,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,5,HUMBLE.,Kendrick Lamar,1275449,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,07/01/2017,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
91,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,104,HUMBLE.,Kendrick Lamar,280264,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,07/01/2018,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
104,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,158,HUMBLE.,Kendrick Lamar,239609,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,07/01/2019,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
117,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82,2017-04-14,18608580,180,HUMBLE.,Kendrick Lamar,221112,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,07/01/2020,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4
